"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",16.9,
"AUT","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",13,
"BEL","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",24,
"CAN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",1.9,
"CZE","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",21,
"DNK","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",32,
"FIN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",30,
"FRA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",26,
"DEU","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",22,
"GRC","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",19,
"HUN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",21,
"ISL","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",22.4,
"IRL","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",15,
"ITA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",19,
"JPN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",15.4,
"LUX","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",22,
"MEX","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",14.1,
"NLD","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",25,
"NZL","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",35,
"NOR","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",27,
"POL","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",13,
"PRT","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",19,
"SVK","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",23,
"ESP","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",13,
"SWE","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",28,
"CHE","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",9.8,
"TUR","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",38,
"GBR","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",29,
"USA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2019",35.6,
